runid,recall,precision,f-score
10_ROUGE-SU*,0.01153,0.00704,0.00874
11_ROUGE-SU*,0.00651,0.01461,0.00901
12_ROUGE-SU*,0.00796,0.00766,0.00781
13_ROUGE-SU*,0.03671,0.00614,0.01052
14_ROUGE-SU*,0.00747,0.00585,0.00656
15_ROUGE-SU*,0.02605,0.00348,0.00614
16_ROUGE-SU*,0.01286,0.00466,0.00684
17_ROUGE-SU*,0.01408,0.00318,0.00519
18_ROUGE-SU*,0.00961,0.0119,0.01063
19_ROUGE-SU*,0.00997,0.00394,0.00565
1_ROUGE-SU*,0.02583,0.00482,0.00812
20_ROUGE-SU*,0.00891,0.00461,0.00608
21_ROUGE-SU*,0.01158,0.01234,0.01195
22_ROUGE-SU*,0.01804,0.00549,0.00842
23_ROUGE-SU*,0.01608,0.00775,0.01046
24_ROUGE-SU*,0.00678,0.00211,0.00322
25_ROUGE-SU*,0.022,0.00418,0.00703
26_ROUGE-SU*,0.01089,0.00838,0.00947
27_ROUGE-SU*,0.01462,0.00511,0.00757
28_ROUGE-SU*,0.00857,0.00794,0.00824
29_ROUGE-SU*,0.00276,0.0026,0.00268
2_ROUGE-SU*,0.01533,0.0069,0.00952
30_ROUGE-SU*,0.00941,0.00793,0.00861
31_ROUGE-SU*,0.00332,0.00844,0.00477
32_ROUGE-SU*,0.00729,0.00261,0.00384
33_ROUGE-SU*,0.00863,0.01172,0.00994
34_ROUGE-SU*,0.01546,0.00618,0.00883
35_ROUGE-SU*,0.02213,0.00592,0.00934
36_ROUGE-SU*,0.0114,0.00674,0.00847
37_ROUGE-SU*,0.02651,0.0071,0.0112
38_ROUGE-SU*,0.00615,0.00796,0.00694
39_ROUGE-SU*,0.01037,0.0096,0.00997
3_ROUGE-SU*,0.00979,0.00647,0.00779
40_ROUGE-SU*,0.01658,0.00393,0.00635
41_ROUGE-SU*,0.02023,0.00565,0.00883
42_ROUGE-SU*,0.0203,0.00833,0.01181
43_ROUGE-SU*,0.0095,0.00863,0.00904
44_ROUGE-SU*,0.00838,0.00776,0.00806
45_ROUGE-SU*,0.00479,0.01863,0.00762
46_ROUGE-SU*,0.02585,0.00678,0.01074
47_ROUGE-SU*,0.00985,0.00601,0.00747
48_ROUGE-SU*,0.00637,0.00567,0.006
49_ROUGE-SU*,0.01367,0.00321,0.0052
4_ROUGE-SU*,0.01866,0.00775,0.01095
50_ROUGE-SU*,0.01601,0.00452,0.00705
51_ROUGE-SU*,0.00852,0.00612,0.00712
52_ROUGE-SU*,0.00781,0.00543,0.00641
53_ROUGE-SU*,0.01557,0.0055,0.00813
54_ROUGE-SU*,0.01834,0.00803,0.01117
55_ROUGE-SU*,0.00879,0.00714,0.00788
56_ROUGE-SU*,0.00274,0.00162,0.00204
57_ROUGE-SU*,0.01568,0.00535,0.00798
58_ROUGE-SU*,0.01533,0.0035,0.0057
59_ROUGE-SU*,0.00415,0.00635,0.00502
5_ROUGE-SU*,0.01539,0.00387,0.00618
60_ROUGE-SU*,0.02255,0.00769,0.01147
61_ROUGE-SU*,0.00915,0.00586,0.00714
62_ROUGE-SU*,0.00504,0.00166,0.0025
63_ROUGE-SU*,0.01661,0.0056,0.00838
64_ROUGE-SU*,0.01337,0.01238,0.01286
65_ROUGE-SU*,0.00414,0.00759,0.00536
66_ROUGE-SU*,0.01737,0.0106,0.01317
67_ROUGE-SU*,0.01162,0.00502,0.00701
68_ROUGE-SU*,0.01027,0.01141,0.01081
69_ROUGE-SU*,0.00759,0.01081,0.00892
6_ROUGE-SU*,0.00718,0.00953,0.00819
70_ROUGE-SU*,0.00692,0.00617,0.00652
71_ROUGE-SU*,0.0016,0.00278,0.00203
72_ROUGE-SU*,0.00591,0.0039,0.0047
73_ROUGE-SU*,0.00718,0.00974,0.00827
74_ROUGE-SU*,0.02225,0.00608,0.00955
75_ROUGE-SU*,0.02314,0.00961,0.01358
76_ROUGE-SU*,0.008,0.00687,0.00739
77_ROUGE-SU*,0.00905,0.0043,0.00583
78_ROUGE-SU*,0.01612,0.00688,0.00964
79_ROUGE-SU*,0.00938,0.01021,0.00978
7_ROUGE-SU*,0.02179,0.00829,0.01201
80_ROUGE-SU*,0.02556,0.00499,0.00835
81_ROUGE-SU*,0.00693,0.00563,0.00621
82_ROUGE-SU*,0.00221,0.0056,0.00317
83_ROUGE-SU*,0.01964,0.00423,0.00696
8_ROUGE-SU*,0.01175,0.01131,0.01153
9_ROUGE-SU*,0.0027,0.0016,0.00201
