runid,recall,precision,f-score
10_ROUGE-L,0.08681,0.06261,0.07275
11_ROUGE-L,0.063,0.08744,0.07323
12_ROUGE-L,0.06313,0.05726,0.06005
13_ROUGE-L,0.12771,0.04814,0.06992
14_ROUGE-L,0.06813,0.05572,0.0613
15_ROUGE-L,0.11614,0.03911,0.05852
16_ROUGE-L,0.08931,0.04958,0.06376
17_ROUGE-L,0.08352,0.03661,0.05091
18_ROUGE-L,0.07326,0.0754,0.07431
19_ROUGE-L,0.08207,0.04758,0.06024
1_ROUGE-L,0.11601,0.0462,0.06608
20_ROUGE-L,0.07681,0.05099,0.06129
21_ROUGE-L,0.09352,0.08923,0.09132
22_ROUGE-L,0.0926,0.04712,0.06246
23_ROUGE-L,0.0826,0.05291,0.0645
24_ROUGE-L,0.06945,0.03574,0.04719
25_ROUGE-L,0.09904,0.03979,0.05677
26_ROUGE-L,0.0726,0.05885,0.06501
27_ROUGE-L,0.09957,0.05429,0.07027
28_ROUGE-L,0.06471,0.05755,0.06092
29_ROUGE-L,0.04222,0.03792,0.03995
2_ROUGE-L,0.08628,0.0534,0.06597
30_ROUGE-L,0.06629,0.05622,0.06084
31_ROUGE-L,0.04735,0.06996,0.05648
32_ROUGE-L,0.07589,0.04188,0.05397
33_ROUGE-L,0.06603,0.07116,0.0685
34_ROUGE-L,0.07984,0.04658,0.05883
35_ROUGE-L,0.10338,0.04932,0.06678
36_ROUGE-L,0.06866,0.04875,0.05702
37_ROUGE-L,0.08181,0.03903,0.05285
38_ROUGE-L,0.0605,0.0637,0.06206
39_ROUGE-L,0.07352,0.06539,0.06922
3_ROUGE-L,0.06918,0.05195,0.05934
40_ROUGE-L,0.11364,0.05103,0.07043
41_ROUGE-L,0.11798,0.05749,0.07731
42_ROUGE-L,0.08589,0.05076,0.06381
43_ROUGE-L,0.07037,0.06198,0.06591
44_ROUGE-L,0.06234,0.05545,0.05869
45_ROUGE-L,0.05143,0.09422,0.06654
46_ROUGE-L,0.08076,0.03813,0.0518
47_ROUGE-L,0.08365,0.06034,0.07011
48_ROUGE-L,0.06366,0.05554,0.05932
49_ROUGE-L,0.08286,0.03703,0.05119
4_ROUGE-L,0.09457,0.05625,0.07054
50_ROUGE-L,0.09273,0.04542,0.06097
51_ROUGE-L,0.07273,0.05695,0.06388
52_ROUGE-L,0.07339,0.05649,0.06384
53_ROUGE-L,0.09615,0.05274,0.06812
54_ROUGE-L,0.10233,0.06249,0.07759
55_ROUGE-L,0.08194,0.06824,0.07447
56_ROUGE-L,0.04788,0.034,0.03976
57_ROUGE-L,0.08036,0.0433,0.05628
58_ROUGE-L,0.09562,0.04211,0.05847
59_ROUGE-L,0.05222,0.05979,0.05575
5_ROUGE-L,0.09838,0.04552,0.06224
60_ROUGE-L,0.10562,0.05691,0.07397
61_ROUGE-L,0.0726,0.05363,0.06169
62_ROUGE-L,0.05445,0.02883,0.0377
63_ROUGE-L,0.07444,0.03988,0.05194
64_ROUGE-L,0.07997,0.07112,0.07529
65_ROUGE-L,0.0463,0.0581,0.05153
66_ROUGE-L,0.07839,0.05654,0.0657
67_ROUGE-L,0.09746,0.05912,0.0736
68_ROUGE-L,0.07116,0.06934,0.07024
69_ROUGE-L,0.06497,0.07171,0.06817
6_ROUGE-L,0.06708,0.07145,0.0692
70_ROUGE-L,0.04682,0.04085,0.04363
71_ROUGE-L,0.03393,0.04145,0.03731
72_ROUGE-L,0.07444,0.0559,0.06385
73_ROUGE-L,0.06971,0.07512,0.07231
74_ROUGE-L,0.11153,0.05377,0.07256
75_ROUGE-L,0.0947,0.05633,0.07064
76_ROUGE-L,0.04406,0.03772,0.04064
77_ROUGE-L,0.06734,0.04284,0.05237
78_ROUGE-L,0.08839,0.05327,0.06648
79_ROUGE-L,0.06734,0.06493,0.06611
7_ROUGE-L,0.09483,0.05395,0.06877
80_ROUGE-L,0.08628,0.03513,0.04993
81_ROUGE-L,0.07089,0.05904,0.06442
82_ROUGE-L,0.04038,0.05966,0.04816
83_ROUGE-L,0.10206,0.04369,0.06119
8_ROUGE-L,0.07063,0.06406,0.06718
9_ROUGE-L,0.04472,0.03175,0.03714
